"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","학년","성별","왕복오래달리기(회)","오래달리기걷기(초)","스텝검사(PEI)","앉아윗몸앞으로굽히기(cm)","종합유연성(점)","(무릎대고)팔굽혀펴기(회)","윗몸말아올리기(회)","악력(kg)","50m달리기(초)","제자리멀리뛰기(cm)","BMI(kg/㎡)","체지방률(%fat)","인원","%","인원","%","인원","%","인원","%","인원","%","검사인원수"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000727","언주중학교","03","공립","Y","감염병 상황등을 고려하여 2020학년도에 학생 건강체력평가를 실시하지 않음","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000728","역삼중학교","03","공립","Y","학교장이 감염병 상황 등을 고려하여 시도교육감 및 교육장의 승인을 받아 2020학년도 학생건강체력평가 실시를 생략함.","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000729","영동중학교","03","공립","Y","코로나19상황으로 학생의 체력 증진에 관한 사항을 실시하지 않음","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000730","원촌중학교","03","공립","Y","COVID-19의 영향으로 시도교육감 및 교육장의 승인을 받아 2020학년도 학생건강체력평가를 실시하지 않아 공시항목 관련 내용이 없음.","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000731","은성중학교","03","사립","Y","코로나19 상황으로 인해 체력 측정 미실시","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000732","이수중학교","03","공립","Y","감염병 상황으로 인해 2020학년도 학생건강체력평가를 실시하지 않아 해당자료가 없음","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000733","중동중학교","03","사립","Y","교육장의 승인을 받아 2020학년도 학생건강체력평가 실시를 생략한 학교","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000734","진선여자중학교","03","사립","Y","감염병 상황으로 인하여 2020학년도 학생건강체력평가를 실시하지 않아 해당 자료가 없습니다.","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000735","청담중학교","03","공립","Y","코로나19상황으로 2020학년도 학생건강체력평가 미실시","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000736","휘문중학교","03","사립","Y","2020학년도 미실시","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
